user_id,first_name,last_name,email,city,registration_date,is_active
6252,Ida,Wejman,dlenarcik@dub-roskosz.com,Chojnice,2023-10-29,True
4685,Nicole,Radko,alanzawiasa@grupa.pl,Żory,2023-12-22,True
1731,Gustaw,Hubert,mieszko34@kostorz-josko.pl,Tarnobrzeg,2025-04-23,True
4743,Rozalia,Twardzik,urszulaczupryna@gabinety.org,Pabianice,2023-08-11,True
4521,Julian,Olewniczak,kamil84@yahoo.com,Wągrowiec,2025-06-06,True
6339,Wojciech,Franiak,trduch@onet.pl,Włocławek,2025-07-15,True
577,Witold,Kochman,ichojak@stowarzyszenie.pl,Nowy Dwór Mazowiecki,2023-08-20,False
5203,Urszula,Truchan,szymonkarys@hotmail.com,Chełm,2024-07-27,False
6362,Kaja,Wiza,ykrzeszowiec@rajczak-peszko.pl,Szczecinek,2023-11-11,True
440,Ewa,Kłosiewicz,lesiszsonia@grupa.net,Lubliniec,2024-07-31,False
2749,Blanka,Rzeźniczak,wbrejnak@zegar-nazarko.com,Lubliniec,2023-09-25,True
7486,Kazimierz,Tyczka,igesiarz@grupa.org,Wodzisław Śląski,2023-10-02,True
5273,Juliusz,Brząkała,konstantykrzysztofek@hotmail.com,Płońsk,2025-03-17,True
5654,Kalina,Turoń,pielecholaf@jama-wodka.com,Piastów,2024-01-12,True
3999,Maciej,Tadla,urszulapoletek@malocha-sibiga.com,Szczecinek,2024-04-24,True
6034,Liwia,Bojarczuk,dturczyk@zawiasa-matyszczak.pl,Racibórz,2023-12-20,True
583,Kornel,Stoch,albert26@fpuh.pl,Poznań,2025-06-07,False
9931,Mieszko,Pyzel,psymonowicz@dyczko.com,Zduńska Wola,2023-09-27,True
7050,Rafał,Tutka,justyna36@wawrzonek.com,Siedlce,2025-07-15,True
8159,Cezary,Kieca,giersmelania@o2.pl,Bełchatów,2025-05-12,True
9897,Borys,Wiech,vcofala@fpuh.net,Piotrków Trybunalski,2025-05-18,False
2249,Melania,Letkiewicz,rapakamil@grupa.pl,Oświęcim,2024-09-29,True
4641,Leonard,Jonik,dawidrudolf@hotmail.com,Wągrowiec,2023-12-06,True
9486,Maks,Jargieło,olgierdwasilewicz@stowarzyszenie.net,Łuków,2025-03-19,True
4948,Nikodem,Wojtunik,wkurcz@grupa.com,Żywiec,2024-06-30,False
9921,Kajetan,Miara,brunosliz@onet.pl,Oświęcim,2025-04-19,True
1963,Daniel,Mzyk,gaja50@o2.pl,Wrocław,2024-11-22,True
8244,Franciszek,Kozaczuk,adriannaiwanczyk@mizak-antonczak.pl,Jaworzno,2025-02-11,True
6589,Cezary,Gryska,natasza04@fundacja.com,Piła,2024-08-01,True
8848,Ksawery,Durlik,janina60@gmail.com,Ząbki,2024-06-06,True
322,Damian,Kapustka,ksawerykalinka@interia.pl,Luboń,2023-09-10,False
2677,Agnieszka,Chomiak,nwiertelak@fundacja.com,Rumia,2023-09-01,True
